user_id,signup_date,plan_type,revenue_before,revenue_after,churned,country,device,acquisition_channel,sessions,total_time_spent
U00087,2023-10-07,Basic,8.13,13.339240116948801,0,USA,Tablet,Social,8,70.03
U00088,2023-08-05,Premium,29.16,29.16,0,India,Tablet,Paid Search,9,42.8
U00089,2023-09-09,Free,5.3,5.3,0,Germany,Tablet,Referral,10,50.29
U00090,2023-07-07,Free,13.01,13.01,0,Germany,Mobile,Social,7,57.04
U00091,2023-02-10,Free,16.67,17.728778604989742,0,Brazil,Mobile,Paid Search,6,8.05
U00092,2023-06-06,Free,18.52,38.29067312961442,0,Brazil,Tablet,Social,12,46.94
U00093,2023-01-15,Free,54.89,56.017220396301575,0,India,Desktop,Organic,8,67.46
U00094,2023-10-28,Premium,21.66,43.81424056259364,0,Canada,Mobile,Social,5,27.91
U00095,2023-03-06,Free,30.86,30.86,0,India,Mobile,Paid Search,14,60.48
U00096,2023-12-11,Free,17.44,17.44,0,India,Desktop,Referral,6,35.69
U00097,2023-11-23,Basic,35.86,35.86,0,UK,Tablet,Paid Search,9,56.15
U00098,2023-01-09,Free,6.12,6.12,0,Canada,Mobile,Social,12,100.99
U00099,2023-12-10,Free,4.71,4.71,1,Canada,Desktop,Social,10,52.53
U00100,2023-05-09,Basic,52.16,76.05650885564457,1,Australia,Desktop,Paid Search,7,32.39
U00101,2023-05-16,Premium,23.65,23.65,0,India,Tablet,Organic,3,27.31
U00102,2023-03-04,Basic,22.27,22.27,0,India,Desktop,Paid Search,4,32.26
U00103,2023-05-19,Basic,12.6,12.6,0,India,Tablet,Paid Search,10,62.76
U00104,2023-03-22,Free,9.45,20.793584415064444,0,India,Desktop,Social,8,51.61
U00105,2023-06-12,Premium,16.22,16.22,0,Canada,Mobile,Email,6,53.04
U00106,2023-10-16,Free,2.57,2.57,1,Germany,Tablet,Social,7,35.87
U00107,2023-09-18,Basic,12.13,12.13,0,USA,Tablet,Social,6,43.11
U00108,2023-08-19,Free,12.15,18.420741922319323,0,USA,Desktop,Social,9,61.99
U00109,2023-02-10,Premium,15.46,15.46,0,Germany,Mobile,Social,8,23.88
U00110,2023-01-28,Basic,20.14,30.02455640744555,0,India,Desktop,Organic,8,8.5
U00111,2023-05-15,Basic,63.08,63.08,0,Australia,Desktop,Referral,4,17.72
U00112,2023-07-20,Free,21.12,25.95494229238665,0,Canada,Desktop,Paid Search,10,51.73
U00113,2023-11-24,Free,43.04,53.60107334986326,0,UK,Mobile,Paid Search,6,44.91
U00114,2023-09-25,Basic,16.25,16.25,0,UK,Mobile,Email,9,41.61
U00115,2023-02-02,Basic,19.72,19.72,0,Brazil,Desktop,Organic,8,41.87
U00116,2023-02-17,Free,1.45,1.45,0,USA,Tablet,Email,6,16.13
U00117,2023-03-03,Premium,2.86,11.481103665426634,1,Brazil,Tablet,Paid Search,4,24.01
U00118,2023-08-04,Premium,17.33,17.33,0,India,Tablet,Email,8,38.51
U00119,2023-10-20,Free,10.07,10.07,0,Brazil,Tablet,Social,8,30.56
U00120,2023-04-09,Premium,32.07,32.07,0,India,Desktop,Social,10,65.31
U00121,2023-06-21,Basic,15.67,31.98662057061391,0,Brazil,Desktop,Paid Search,8,37.85
U00122,2023-12-26,Free,42.79,42.79,0,Germany,Mobile,Email,7,36.31
U00123,2023-08-02,Free,71.75,71.75,0,Canada,Tablet,Social,11,69.93
U00124,2023-02-04,Basic,3.19,3.19,0,India,Desktop,Organic,8,80.31
U00125,2023-08-15,Basic,10.04,10.04,0,UK,Tablet,Organic,11,86.71
U00126,2023-04-11,Free,21.87,21.87,0,India,Tablet,Paid Search,11,98.25
U00127,2023-05-11,Basic,7.29,10.006407234140358,0,Australia,Desktop,Referral,5,13.0
U00128,2023-09-14,Basic,6.21,6.21,1,Australia,Desktop,Referral,8,45.31
U00129,2023-01-05,Basic,33.61,33.61,1,UK,Desktop,Email,6,17.09
U00130,2023-08-06,Free,78.62,78.62,1,Canada,Tablet,Paid Search,3,13.59
U00131,2023-09-12,Premium,29.73,40.42266014404221,0,UK,Mobile,Paid Search,6,12.92
U00132,2023-12-25,Free,14.83,14.83,1,Brazil,Tablet,Social,8,18.89
U00133,2023-10-10,Free,11.69,16.497794333160925,0,USA,Desktop,Social,5,37.43
U00134,2023-07-26,Free,15.52,15.52,0,Australia,Tablet,Organic,8,60.22
U00135,2023-01-15,Free,12.43,12.43,0,USA,Mobile,Organic,9,82.28
U00136,2023-12-12,Premium,13.98,19.05839681075255,0,USA,Desktop,Paid Search,11,70.26
U00137,2023-02-11,Free,4.55,4.55,0,Australia,Desktop,Social,7,56.12
U00138,2023-06-28,Basic,46.81,59.8925254057607,0,UK,Tablet,Social,11,86.27
U00139,2023-03-04,Free,28.09,38.3328265959281,0,USA,Desktop,Paid Search,3,10.19
U00140,2023-12-18,Free,22.85,22.85,0,India,Mobile,Organic,6,40.94
U00141,2023-08-19,Premium,59.88,59.88,0,India,Desktop,Social,10,61.93
U00142,2023-08-29,Basic,6.69,6.69,0,Canada,Tablet,Referral,6,39.66
U00143,2023-02-21,Free,1.69,15.200377396517341,0,India,Desktop,Email,10,88.58
U00144,2023-04-06,Basic,34.99,34.99,0,Australia,Tablet,Organic,9,53.78
U00145,2023-08-10,Free,128.97,128.97,1,Australia,Desktop,Referral,5,11.12
U00146,2023-08-19,Free,17.28,17.28,0,Canada,Desktop,Paid Search,2,2.39
U00147,2023-08-25,Basic,1.21,15.39587009592936,0,UK,Tablet,Paid Search,5,29.61
U00148,2023-05-23,Basic,30.33,30.33,0,UK,Mobile,Email,6,28.09
U00149,2023-06-20,Free,1.53,1.53,0,USA,Tablet,Social,10,32.69
U00150,2023-01-29,Premium,15.53,15.53,0,Canada,Mobile,Referral,6,25.49
U00151,2023-02-05,Basic,6.5,7.538261596684208,0,Brazil,Tablet,Social,11,85.92
U00152,2023-01-13,Free,49.31,49.31,1,UK,Desktop,Referral,7,46.11
U00153,2023-06-09,Basic,12.01,12.01,0,Germany,Mobile,Paid Search,4,24.19
U00154,2023-11-23,Basic,45.75,45.75,0,India,Tablet,Paid Search,6,37.85
U00155,2023-07-06,Basic,7.11,7.11,0,India,Tablet,Social,8,51.42
U00156,2023-08-31,Free,9.8,9.8,0,USA,Tablet,Social,10,78.8
U00157,2023-03-27,Basic,58.79,58.79,0,Brazil,Tablet,Referral,6,34.61
U00158,2023-10-11,Free,4.5,4.5,0,India,Mobile,Email,5,13.42
U00159,2023-03-07,Premium,17.28,17.28,0,UK,Mobile,Paid Search,7,46.0
U00160,2023-06-19,Basic,9.84,9.84,0,Brazil,Mobile,Referral,16,108.16
U00161,2023-02-14,Free,29.76,29.76,0,India,Mobile,Organic,8,54.12
U00162,2023-03-03,Basic,2.77,3.184259413440148,0,USA,Tablet,Social,10,77.85
U00163,2023-05-14,Premium,11.5,11.5,0,USA,Mobile,Paid Search,12,54.08
U00164,2023-10-11,Premium,24.01,24.01,0,USA,Mobile,Email,6,43.86
U00165,2023-01-28,Free,10.45,10.45,0,UK,Desktop,Email,9,83.54
U00166,2023-04-18,Free,1.21,1.21,0,USA,Desktop,Organic,8,41.52
U00167,2023-02-13,Basic,24.42,24.563841218368534,0,Germany,Mobile,Social,6,38.33
U00168,2023-12-06,Free,13.99,13.99,0,Australia,Desktop,Social,8,46.05
U00169,2023-10-13,Premium,0.23,0.23,0,UK,Desktop,Referral,3,10.96
U00170,2023-11-27,Free,18.97,23.527243396346723,0,Germany,Desktop,Organic,4,33.5
U00171,2023-05-08,Free,50.48,52.78384248597662,0,USA,Desktop,Email,10,57.78
U00172,2023-12-14,Free,2.35,15.860550332011355,0,Brazil,Tablet,Email,5,25.07
U00173,2023-08-19,Free,17.86,17.86,0,UK,Desktop,Organic,6,44.75
U00174,2023-07-09,Basic,26.09,26.09,0,Australia,Tablet,Organic,5,41.74
U00175,2023-08-13,Free,1.47,11.062198960767176,0,Germany,Tablet,Email,10,49.74
U00176,2023-10-10,Free,0.46,9.416383684837529,0,UK,Desktop,Organic,6,34.24
U00177,2023-05-01,Free,12.48,12.48,0,Germany,Tablet,Organic,5,21.84
U00178,2023-04-26,Basic,31.33,41.44587337070003,0,Canada,Tablet,Social,5,24.93
U00179,2023-08-21,Free,3.5,3.5,0,Australia,Tablet,Organic,6,25.26
U00180,2023-09-16,Basic,36.24,36.24,0,UK,Tablet,Email,7,30.37
U00181,2023-12-25,Basic,21.38,21.38,0,India,Desktop,Paid Search,7,38.29
U00182,2023-07-17,Basic,8.07,8.07,1,Australia,Desktop,Email,9,62.46
U00183,2023-05-17,Premium,14.51,14.51,0,Australia,Tablet,Social,3,22.91
U00184,2023-11-14,Premium,67.38,67.38,0,Germany,Desktop,Organic,8,33.91
U00185,2023-06-14,Premium,4.88,4.88,0,Germany,Mobile,Email,6,40.78
U00186,2023-08-13,Free,13.84,13.84,0,Australia,Mobile,Referral,12,114.8
U00187,2023-11-03,Free,19.59,19.59,1,UK,Desktop,Paid Search,7,41.56
U00188,2023-08-22,Free,2.97,8.54896395820399,0,Australia,Mobile,Email,10,52.84
U00189,2023-06-21,Premium,0.89,0.89,1,Brazil,Desktop,Organic,4,24.25
U00190,2023-06-01,Premium,0.27,1.6401098306112458,0,India,Tablet,Social,9,62.28
U00191,2023-11-11,Premium,7.85,7.85,0,Australia,Desktop,Paid Search,8,55.51
U00192,2023-06-09,Free,1.54,1.5452798304435253,0,Germany,Tablet,Referral,14,98.55
U00193,2023-04-06,Premium,32.57,32.57,0,USA,Mobile,Referral,12,104.65
U00194,2023-08-21,Free,118.44,132.91992737524757,0,USA,Tablet,Organic,5,27.7
U00195,2023-06-29,Free,1.27,1.27,0,Canada,Tablet,Referral,7,53.24
U00196,2023-04-23,Free,11.34,11.34,0,UK,Mobile,Paid Search,9,59.14
U00197,2023-11-14,Free,0.52,0.52,0,Brazil,Desktop,Referral,5,35.05
U00198,2023-02-21,Basic,2.88,8.200036353052159,0,India,Desktop,Organic,9,55.22
U00199,2023-09-25,Free,7.8,22.761387871267516,0,Germany,Desktop,Referral,9,54.39
U00200,2023-10-22,Free,10.01,10.01,0,USA,Desktop,Social,9,63.37
U00201,2023-04-23,Basic,56.2,56.2,0,Germany,Tablet,Paid Search,11,29.46
U00202,2023-04-11,Premium,10.08,11.08746984450572,0,Australia,Tablet,Organic,11,87.05
U00203,2023-04-23,Basic,13.71,18.26482510874681,0,USA,Mobile,Organic,3,12.9
U00204,2023-03-22,Free,5.64,5.64,1,UK,Mobile,Social,11,41.89
U00205,2023-07-06,Premium,0.0,0.11798957060307287,0,UK,Tablet,Organic,9,28.96
U00206,2023-04-23,Premium,45.92,45.92,0,Germany,Mobile,Email,10,70.64
U00207,2023-01-02,Free,1.7,4.707041732528049,0,UK,Desktop,Organic,7,41.86
U00208,2023-05-10,Basic,66.62,74.20989425721714,0,India,Tablet,Referral,13,96.64
U00209,2023-08-08,Free,2.8,2.8,0,Canada,Mobile,Organic,10,115.73
U00210,2023-02-23,Free,18.57,18.57,0,UK,Mobile,Paid Search,6,22.08
U00211,2023-12-09,Basic,148.73,148.73,0,India,Desktop,Organic,4,29.62
U00212,2023-08-12,Premium,2.98,2.98,0,UK,Tablet,Paid Search,7,46.77
U00213,2023-08-13,Free,11.03,16.114415433254813,0,Germany,Mobile,Social,7,61.81
U00214,2023-05-06,Premium,30.32,76.30568578250592,1,India,Mobile,Email,11,34.21
U00215,2023-05-10,Premium,0.65,0.65,0,Canada,Mobile,Referral,14,29.55
U00216,2023-02-22,Premium,23.41,27.804494959142446,0,Canada,Desktop,Email,9,46.77
U00217,2023-06-21,Free,1.68,1.68,0,Canada,Mobile,Email,0,0.0
U00218,2023-08-06,Premium,5.4,16.397521872508978,0,Brazil,Tablet,Social,7,28.88
U00219,2023-06-09,Free,3.49,16.530415838447855,0,Canada,Desktop,Organic,5,24.2
U00220,2023-07-17,Basic,47.58,48.88631752519686,0,Germany,Tablet,Email,2,13.04
U00221,2023-09-04,Free,3.98,3.98,0,India,Desktop,Referral,7,48.92
U00222,2023-11-20,Free,0.83,0.83,1,USA,Mobile,Paid Search,6,31.59
U00223,2023-07-22,Basic,17.72,17.72,0,Canada,Tablet,Social,4,24.62
U00224,2023-07-03,Free,8.5,8.5,0,USA,Mobile,Social,6,30.44
U00225,2023-05-03,Free,10.41,10.41,0,Brazil,Tablet,Email,14,104.8
U00226,2023-09-12,Free,2.54,3.7890136117557565,0,USA,Mobile,Organic,3,12.53
U00227,2023-10-21,Basic,27.59,27.59,0,Germany,Mobile,Email,9,43.96
U00228,2023-10-07,Free,18.4,18.4,0,Canada,Tablet,Paid Search,6,49.56
U00229,2023-11-21,Premium,9.06,9.06,1,Australia,Desktop,Email,13,45.84
U00230,2023-04-08,Free,3.76,3.76,0,India,Tablet,Organic,5,30.11
U00231,2023-07-17,Free,18.0,18.0,0,Canada,Desktop,Social,8,55.96
U00232,2023-08-28,Free,30.16,30.16,0,Australia,Tablet,Referral,9,82.62
U00233,2023-05-24,Free,7.49,7.49,0,Germany,Tablet,Social,13,68.22
U00234,2023-04-07,Free,0.52,0.52,0,UK,Tablet,Organic,7,17.77
U00235,2023-07-20,Free,4.82,4.82,0,UK,Desktop,Social,13,74.63
U00236,2023-05-04,Premium,22.94,22.94,1,USA,Mobile,Email,7,43.62
U00237,2023-07-06,Basic,90.37,98.877539342625,0,Brazil,Desktop,Email,8,51.59
U00238,2023-11-22,Free,0.27,34.53486904657376,0,Australia,Mobile,Email,7,40.61
U00239,2023-12-15,Free,7.31,7.31,0,Brazil,Mobile,Email,8,30.87
U00240,2023-09-16,Premium,1.28,1.28,0,Canada,Tablet,Organic,9,13.48
U00241,2023-05-28,Free,7.61,10.382837420578415,0,UK,Tablet,Paid Search,8,11.31
U00242,2023-09-09,Free,10.41,10.41,0,Brazil,Mobile,Email,3,10.29
U00243,2023-12-12,Basic,50.73,50.73,0,Australia,Desktop,Social,6,32.05
U00244,2023-05-27,Basic,1.68,1.68,0,Brazil,Tablet,Organic,7,30.98
U00245,2023-05-28,Basic,30.02,37.16274841279031,0,USA,Mobile,Organic,8,72.12
U00246,2023-12-18,Free,10.07,13.35006106293303,0,Canada,Tablet,Referral,13,110.33
U00247,2023-07-18,Free,33.35,33.35,0,Germany,Desktop,Email,9,34.06
U00248,2023-11-04,Basic,14.41,14.41,0,Germany,Tablet,Social,6,24.62
U00249,2023-05-08,Free,0.8,0.8,0,India,Mobile,Paid Search,10,51.24
U00250,2023-02-08,Basic,58.45,64.806740343038,0,Australia,Mobile,Paid Search,8,18.46
U00251,2023-12-04,Basic,1.73,24.03904964818857,0,Germany,Tablet,Social,10,85.37
U00252,2023-12-26,Free,18.21,18.21,0,Germany,Desktop,Organic,7,42.82
U00253,2023-05-09,Premium,42.02,45.41494816992122,0,USA,Desktop,Social,10,53.05
U00254,2023-09-24,Premium,1.66,1.66,0,Canada,Mobile,Referral,7,43.25
U00255,2023-05-31,Basic,16.14,16.14,0,USA,Tablet,Organic,11,94.85
U00256,2023-10-25,Free,34.78,34.78,0,Canada,Mobile,Referral,11,36.04
U00257,2023-04-09,Free,85.84,85.84,0,Germany,Desktop,Paid Search,11,58.92
U00258,2023-09-20,Free,25.77,25.77,1,India,Tablet,Email,9,65.44
U00259,2023-09-09,Free,6.52,7.524945284581943,0,Australia,Desktop,Referral,12,70.31
U00260,2023-05-24,Premium,24.05,24.05,0,Germany,Mobile,Social,9,39.09
U00261,2023-12-12,Free,24.47,24.47,1,Canada,Tablet,Email,6,20.06
U00262,2023-04-22,Free,24.08,24.08,0,Germany,Desktop,Paid Search,7,39.68
U00263,2023-03-01,Free,38.52,38.52,0,UK,Tablet,Social,7,55.45
U00264,2023-01-02,Basic,1.83,1.83,0,Canada,Tablet,Referral,8,54.14
U00265,2023-10-31,Free,2.3,2.3,0,India,Desktop,Social,11,84.46
U00266,2023-09-11,Free,20.47,20.47,0,Canada,Mobile,Email,5,45.35
U00267,2023-05-20,Free,61.53,61.53,0,Germany,Desktop,Social,2,8.16
U00268,2023-02-06,Premium,12.54,12.54,0,USA,Desktop,Referral,11,69.76
U00269,2023-06-09,Free,64.66,64.66,0,Canada,Tablet,Organic,8,35.4
U00270,2023-01-09,Premium,55.64,55.64,0,Germany,Tablet,Paid Search,3,17.65
U00271,2023-08-21,Premium,46.64,46.64,0,Brazil,Desktop,Paid Search,5,38.51
U00272,2023-04-09,Free,48.13,48.13,0,UK,Desktop,Email,10,45.81
U00273,2023-05-27,Basic,45.72,89.12459066714418,0,Australia,Mobile,Social,9,56.93
U00274,2023-10-31,Free,34.28,42.284938014525906,0,Australia,Tablet,Social,13,39.72
U00275,2023-07-27,Premium,23.75,24.049207994515076,0,UK,Desktop,Referral,9,38.58
U00276,2023-05-11,Basic,0.49,0.49,0,Australia,Mobile,Paid Search,8,63.0
U00277,2023-06-01,Free,2.84,2.84,0,UK,Tablet,Paid Search,6,39.53
U00278,2023-02-23,Free,2.88,3.1437480559213844,0,India,Mobile,Email,7,19.1
U00279,2023-04-30,Free,0.48,0.48,0,Canada,Desktop,Paid Search,5,32.66
U00280,2023-06-10,Premium,2.48,2.48,0,UK,Tablet,Referral,12,57.78
U00281,2023-04-26,Free,50.45,60.75290741328601,0,Germany,Mobile,Referral,8,21.48
U00282,2023-03-16,Basic,21.8,21.8,0,India,Desktop,Paid Search,9,36.2
U00283,2023-04-23,Free,7.48,7.48,1,Brazil,Mobile,Email,9,42.29
U00284,2023-04-14,Premium,31.54,43.41042620069559,0,USA,Mobile,Referral,7,53.86
U00285,2023-12-06,Free,13.4,18.45113469933812,0,UK,Desktop,Email,6,36.25
U00286,2023-09-11,Basic,3.07,11.351444904349975,0,Germany,Tablet,Social,10,43.32
U00287,2023-08-15,Free,43.17,43.17,0,Australia,Desktop,Paid Search,7,18.5
U00288,2023-04-22,Basic,8.27,22.5247747129482,0,India,Tablet,Social,12,125.57
U00289,2023-04-09,Free,24.0,43.442929865098854,0,Canada,Mobile,Social,6,30.67
U00290,2023-06-02,Free,6.87,17.743339616253174,0,Canada,Mobile,Paid Search,4,28.04
U00291,2023-12-15,Free,13.87,52.89508508350883,0,Germany,Desktop,Social,9,22.24
U00292,2023-12-04,Basic,33.88,33.88,0,Canada,Mobile,Paid Search,5,18.46
U00293,2023-07-13,Free,3.41,3.41,0,UK,Mobile,Email,8,36.01
U00294,2023-11-06,Basic,75.67,82.7521086710219,0,USA,Tablet,Social,8,47.51
U00295,2023-06-12,Free,1.46,1.46,0,India,Desktop,Social,2,9.14
U00296,2023-07-27,Premium,15.27,15.27,0,Germany,Tablet,Referral,6,53.17
U00297,2023-06-18,Premium,49.54,54.323680148818724,0,India,Desktop,Social,9,74.23
U00298,2023-06-10,Basic,58.26,58.26,1,UK,Mobile,Organic,9,60.47
U00299,2023-03-09,Free,5.28,5.28,0,Canada,Mobile,Social,8,41.35
U00300,2023-10-16,Free,3.11,3.11,1,UK,Desktop,Social,4,18.23
U00301,2023-10-04,Free,25.78,25.78,0,Brazil,Desktop,Referral,7,63.71
U00302,2023-10-31,Free,0.86,0.86,0,Australia,Desktop,Organic,8,30.97
U00303,2023-05-15,Basic,13.28,20.30693666126529,0,Brazil,Mobile,Email,7,37.87
U00304,2023-07-14,Basic,31.83,31.83,0,UK,Tablet,Paid Search,7,17.14
U00305,2023-05-08,Premium,16.43,16.43,0,India,Mobile,Social,7,38.23
U00306,2023-02-02,Free,4.17,10.650980362030076,0,Germany,Mobile,Email,6,51.37
U00307,2023-06-25,Basic,13.35,13.35,0,Germany,Mobile,Email,6,26.32
U00308,2023-01-22,Free,50.84,50.84,0,Australia,Desktop,Paid Search,7,75.89
U00309,2023-08-26,Basic,19.21,20.86015384497634,0,India,Mobile,Paid Search,10,89.11
U00310,2023-06-07,Free,25.57,25.57,0,USA,Tablet,Email,9,37.47
U00311,2023-02-07,Free,8.2,11.758317179358375,0,India,Desktop,Organic,4,13.75
U00312,2023-08-18,Free,4.18,5.546110066992012,0,UK,Mobile,Referral,10,44.06
U00313,2023-12-31,Basic,5.9,30.867625691005465,0,Australia,Mobile,Email,10,52.26
